PATHROW	MIICA06_P1	MIICA11_P1	MIICA06_P2	MIICA11_P2	ExtraScene
2435	20060417	20100412	20060706	20100701	20110906
2436	20050414	20100412	20051124	20101106	20110906
2437	20050921	20110906	20060519	20110602	20111008
2438	20051023	20101005	20060212	20100122	20110906
2439	20050921	20101005	20060212	20100122	20110906
2526	20060611	20100606	20060915	20100809	20091110
2527	20050421	20091110			20090603
2528	20050827	20090603	20061001	20100926	20091110
2529	20051014	20101012	20060408	20100318	20100926
2530	20061001	20101012	20070614	20100505	20100910
2531	20051014	20101012	20060408	20100403	20110913
2532	20060408	20100403	20060915	20100825	20111031
2533	20060408	20100403	20060915	20110929	20111031
2534	20060408	20100403	20060915	20110929	20111031
2535	20060915	20110828	20061102	20111031	20110609
2536	20060915	20110828	20061118	20111031	20110609
2537	20060915	20110929	20061118	20111031	20111015
2538	20041214	20091126	20061118	20101028	20110828
2539	20040504	20100505	20040909	20100825	20110828
2540	20040909	20101028	20041214	20091110	20110828
2627	20050701	20090626	20061125	20101003	20100410
2628	20060602	20100715	20070418	20100325	20091117
2629	20050717	20100715	20061109	20111107	20111006
2630	20050717	20100715	20061109	20111107	20111006
2631	20050717	20110718	20061109	20111107	20100816
2632	20060906	20110904	20070418	20110429	20100816
2633	20070418	20110413	20070707	20110718	20110819
2634	20060805	20110803	20070402	20110413	20110702
2635	20060805	20110803	20061109	20101104	20110429
2636	20060501	20110429	20061024	20101104	20110803
2637	20060226	20110208	20060501	20110429	20110702
2638	20050428	20110429	20060226	20110208	20110819
2639	20040409	20110429	20051021	20110429	20101104
2640	20040815	20100731	20060314	20101104	20101003
2641	20040714	20100528	20070213	20110312	20101003
2642	20050412	20110429	20061227	20110107	20110803
2726	20050622	20100706	20050926	20110911	20100519
2727	20050622	20100706	20050926	20110911	20100519
2728	20050622	20110607	20050926	20110911	20100519
2729	20050622	20110607	20051028	20111029	20110725
2730	20050606	20110607	20051028	20111029	20110911
2731	20050606	20110607	20051028	20111029	20111013
2732	20050521	20110607	20051028	20111013	20100924
2733	20050622	20110607	20061031	20111013	20100924
2734	20050521	20110607	20061031	20111013	20100924
2735	20051113	20101127	20060609	20110607	20110927
2736	20051113	20101127	20060609	20110607	20110911
2737	20050521	20110607	20061116	20101127	20110911
2738	20050926	20100823	20061116	20101127	20110810
2739	20050926	20110911	20061116	20101127	20100823
2740	20050926	20100823	20061116	20101127	20110911
2741	20050926	20100823	20061116	20101127	20110911
2742	20050809	20100823	20061116	20101127	20110911
2826	20060904	20110817	20070416	20110411	20100526
2827	20060904	20110817	20070502	20100408	20100526
2828	20060803	20110817	20070502	20100408	20100526
