PWSID,all_violations,health_violations
NJ0436499,1,0
NJ0502001,1,0
NJ0503001,2,0
NJ0504337,1,1
NJ0504375,1,1
NJ0504399,1,0
NJ0504407,2,0
NJ0505002,20,0
NJ0505303,1,0
NJ0505342,30,0
NJ0505376,1,0
NJ0505391,1,0
NJ0505406,1,0
NJ0505413,1,0
NJ0506001,3,0
NJ0506008,1,0
NJ0506009,1,0
NJ0506012,1,0
NJ0506305,1,0
NJ0506321,15,0
NJ0506331,1,0
NJ0506342,1,0
NJ0506355,1,0
NJ0506370,3,0
NJ0506406,2,2
NJ0506415,1,0
NJ0506428,1,0
NJ0509001,1,0
NJ0511003,1,0
NJ0511302,1,0
NJ0511305,18,0
NJ0511308,8,0
NJ0511327,2,0
NJ0511363,1,0
NJ0511401,2,2
NJ0511900,21,0
NJ0514001,1,0
NJ0516001,1,0
NJ0516003,20,0
NJ0516308,1,0
NJ0601001,1,0
NJ0602303,2,0
NJ0602304,1,0
NJ0602305,1,0
NJ0602307,1,1
NJ0602308,1,0
NJ0602315,3,1
NJ0602316,1,0
NJ0603308,1,0
NJ0603315,1,0
NJ0603322,2,2
NJ0603324,1,1
NJ0603329,1,0
NJ0603330,1,1
NJ0603331,1,1
NJ0604301,2,2
NJ0604307,2,0
NJ0604309,2,0
NJ0604314,1,0
NJ0605002,1,1
NJ0605317,2,1
NJ0605322,1,0
NJ0605323,1,0
NJ0606303,1,0
NJ0606304,3,1
NJ0607001,1,0
NJ0607309,1,1
NJ0607310,1,1
NJ0607311,2,2
NJ0607321,1,0
NJ0607324,6,5
NJ0607325,1,0
NJ0607326,17,0
NJ0607328,1,1
NJ0607329,3,0
NJ0608309,16,0
NJ0608310,17,0
NJ0609001,3,1
NJ0609300,20,0
NJ0609311,1,1
NJ0609319,1,1
NJ0610001,14,0
NJ0610309,1,0
NJ0610310,2,0
NJ0610314,2,2
NJ0611302,1,1
NJ0612001,20,1
NJ0612303,2,2
NJ0613004,12,0
NJ0613307,9,0
NJ0613312,1,1
NJ0613320,2,2
NJ0613330,1,1
NJ0614003,24,2
NJ0614004,1,0
NJ0614005,4,2
NJ0614305,1,0
NJ0614322,1,0
NJ0614334,1,0
NJ0614348,1,0
NJ0701001,6,0
NJ0702001,6,4
NJ0702300,2,1
NJ0704001,1,0
NJ0705001,1,0
NJ0707309,3,0
NJ0708001,1,0
NJ0710001,59,0
NJ0712001,1,0
NJ0714001,5,2
NJ0715001,2,0
NJ0715002,2,0
NJ0716300,18,0
NJ0718001,4,0
NJ0720001,2,0
NJ0721001,1,0
NJ0722304,1,1
NJ0801001,1,0
NJ0801301,3,0
NJ0803001,1,1
NJ0804308,1,0
NJ0804310,2,1
NJ0804317,1,1
NJ0804320,2,0
NJ0804324,1,0
NJ0804326,1,1
NJ0804329,1,0
NJ0805003,2,1
NJ0805312,3,0
NJ0805313,2,0
NJ0805329,1,1
NJ0805335,1,0
NJ0805340,3,0
NJ0805344,1,0
NJ0805348,1,1
NJ0805359,16,0
NJ0805367,2,1
NJ0805378,1,0
NJ0805433,1,0
NJ0805440,1,1
NJ0805448,1,0
NJ0805453,2,2
NJ0805456,2,2
NJ0805458,1,0
NJ0807001,20,0
NJ0808316,2,1
NJ0808321,2,1
NJ0808323,1,0
NJ0809309,19,0
NJ0809311,1,0
NJ0810004,2,0
NJ0810005,2,2
NJ0810319,1,0
NJ0811002,5,0
NJ0811306,1,0
NJ0811316,2,2
NJ0811392,1,0
NJ0811410,1,0
NJ0811411,2,2
NJ0811415,2,0
NJ0811417,3,0
NJ0812001,1,0
NJ0813001,2,0
NJ0814001,1,1
NJ0815001,2,0
NJ0816001,1,0
NJ0816300,1,1
NJ0816303,1,1
NJ0816304,3,1
NJ0816306,1,1
NJ0818004,128,0
NJ0818376,3,0
NJ0818430,2,1
NJ0818442,2,1
NJ0818444,2,2
NJ0818449,2,1
NJ0818450,1,1
NJ0818459,2,1
NJ0818470,1,1
NJ0818473,2,0
NJ0819001,1,0
NJ0820001,3,0
NJ0820303,1,1
NJ0821001,2,0
NJ0822001,3,0
NJ0824001,3,1
NJ0824300,2,1
NJ0824308,2,0
NJ0824311,3,1
NJ0824317,1,0
NJ1001301,11,0
NJ1001302,1,1
NJ1001303,2,1
NJ1001309,2,1
NJ1002300,2,0
NJ1002308,2,1
NJ1002313,1,1
NJ1002319,1,0
NJ1005001,4,0
NJ1006304,1,0
NJ1006315,1,1
NJ1006319,1,1
NJ1006321,2,2
NJ1006323,1,1
NJ1006329,2,1
NJ1006331,2,0
NJ1006338,1,1
NJ1006349,2,2
NJ1006355,16,0
NJ1006356,1,0
NJ1006366,1,0
NJ1006367,1,1
NJ1006370,3,3
NJ1006375,1,1
NJ1007002,1,0
NJ1007305,6,0
NJ1007308,3,2
NJ1008304,1,0
NJ1008306,3,0
NJ1008309,2,2
NJ1008315,1,1
NJ1008317,1,0
NJ1008321,2,2
NJ1008325,1,0
NJ1009001,3,0
NJ1010308,1,0
NJ1010310,17,0
NJ1010311,1,0
NJ1010313,1,0
NJ1011301,2,2
NJ1012001,1,1
NJ1013001,1,0
NJ1014001,1,1
NJ1015301,2,1
NJ1015303,1,1
NJ1015310,5,0
NJ1015311,1,0
NJ1016300,1,0
NJ1016302,1,1
NJ1016307,1,0
NJ1016308,1,0
NJ1016310,1,1
NJ1016315,1,1
NJ1016318,2,2
NJ1016323,1,1
NJ1016324,21,1
NJ1017301,1,0
NJ1018300,1,1
NJ1018303,1,0
NJ1019001,1,0
NJ1019002,6,0
NJ1019300,1,1
NJ1019301,1,1
NJ1019306,1,1
NJ1019309,32,0
NJ1019326,4,2
NJ1019327,1,0
NJ1019336,1,1
NJ1019339,3,1
NJ1019341,2,1
NJ1020001,2,0
NJ1021300,3,2
NJ1021302,1,1
NJ1021305,1,0
NJ1021318,3,2
NJ1021326,2,0
NJ1021338,1,1
NJ1021351,14,0
NJ1021358,1,0
NJ1021386,7,0
NJ1021388,2,0
NJ1021393,1,0
