PWSID,all_violations,health_violations
NJ2104314,4,2
NJ2104315,1,0
NJ2104317,4,2
NJ2104318,1,1
NJ2104328,3,2
NJ2104330,3,2
NJ2104331,2,1
NJ2104334,1,0
NJ2104339,2,2
NJ2104341,2,2
NJ2104343,1,1
NJ2104346,1,0
NJ2105300,2,0
NJ2105306,3,1
NJ2105308,1,0
NJ2105311,2,1
NJ2105319,1,0
NJ2105323,5,1
NJ2105329,4,4
NJ2106307,1,1
NJ2106309,1,0
NJ2106313,1,1
NJ2107304,5,2
NJ2107312,1,0
NJ2107320,1,1
NJ2108001,3,1
NJ2109300,2,0
NJ2109303,2,2
NJ2109306,1,0
NJ2109307,1,1
NJ2109311,2,2
NJ2109314,1,0
NJ2109316,2,1
NJ2109320,4,3
NJ2109321,3,3
NJ2110302,8,4
NJ2110313,1,1
NJ2110323,6,5
NJ2111300,2,2
NJ2111301,1,1
NJ2111303,1,0
NJ2111305,2,0
NJ2111307,5,5
NJ2111313,1,0
NJ2111314,1,0
NJ2111321,1,0
NJ2112305,1,1
NJ2112306,1,1
NJ2112308,1,1
NJ2113002,1,1
NJ2113003,2,2
NJ2113301,3,1
NJ2113302,3,2
NJ2113307,2,2
NJ2113311,3,0
NJ2113315,7,3
NJ2113320,5,3
NJ2113321,2,2
NJ2113326,2,2
NJ2113328,6,5
NJ2113335,5,3
NJ2113340,2,2
NJ2114316,1,1
NJ2114317,1,0
NJ2114321,3,2
NJ2116002,1,0
NJ2116004,2,0
NJ2116322,3,2
NJ2116327,2,2
NJ2116333,4,3
NJ2116335,1,1
NJ2116342,1,0
NJ2117003,5,0
NJ2117305,2,1
NJ2117318,2,1
NJ2120001,2,0
NJ2120300,1,0
NJ2122320,1,1
NJ2122328,1,1
NJ2122331,5,4
NJ2123002,1,0
NJ2123003,3,0
NJ2123300,2,2
NJ2123307,1,0
NJ2123310,1,0
NJ2123317,1,0
NJ2123322,2,0
NJ2123325,7,5
NJ2123334,2,0
NJ2123341,1,1
NJ2123342,2,1
NJ2123347,1,1
NJ2123349,1,0
NJ2123350,2,2
NJ2123351,2,2
NY0310353,1,1
NY1030021,3,0
NY1218319,4,0
NY1701511,2,0
NY1710675,1,0
NY1901865,1,0
NY1904289,2,0
NY3520933,22,0
NY3522324,2,0
NY3530257,1,0
NY4120565,2,0
NY4708608,3,1
NY4710773,1,0
NY4719935,2,0
NY5203868,1,0
NY5203880,1,0
NY5206809,1,0
NY5207368,1,0
NY5207491,1,0
NY5214965,1,0
NY5218391,1,0
NY5220957,3,0
NY5503186,3,0
NY5506848,1,0
NY5506872,1,0
NY5506881,5,0
NY5507077,1,0
NY5507115,2,0
NY5518034,1,1
NY5520070,1,0
NY5615162,1,0
NY5618139,5,0
NY5730113,2,0
PA1090106,1,0
PA1091343,1,0
PA1150892,1,0
PA2350309,3,1
PA2400007,3,0
PA2400008,1,0
PA2450004,11,0
PA2450104,17,0
PA2450419,3,0
PA2451070,2,0
PA2451380,2,0
PA2520110,33,0
PA2520405,3,2
PA2520893,1,0
PA2520974,17,0
PA2521010,3,1
PA2640465,1,1
PA2640473,1,0
PA2640932,1,1
PA3061196,1,0
PA3480054,17,0
PA4310827,1,0
PA6200066,2,0
PA6250085,7,0
PA6370015,9,0
PA6430001,35,0
PA7380009,15,0
RI1559513,1,1
TX0200355,1,0
TX1012765,11,0
TX1013163,3,0
VT0006661,6,0
VT0021023,1,1
VT0021239,1,0
WI2650399,3,3
